,tau_awakening,tau_survive,D_max,filename
0,1000,10000,32615,../out/F5b/00000_001.pk
1,2000,10000,32615,../out/F5b/00001_001.pk
2,5000,10000,32615,../out/F5b/00002_001.pk
3,10000,10000,32615,../out/F5b/00003_001.pk
4,20000,10000,32615,../out/F5b/00004_001.pk
